STAFF_ID,NAME,PHONE_NUMBER,DOC_TYPE,DEPARTMENT_NAME
101053,Kattie Trewett,"	+49 (130) 711-8626",Traumatologist,Traumatology
101699,Casandra Philipsson,"	+62 (509) 363-0678",Anesthetist,Surgery
101109,Emmalee Schultze,"	+49 (371) 408-5343",Surgeon,Surgery
101326,Leroy Dartnell,"	+86 (365) 569-8852",Cardiologist,Cardiology
101580,Audrie Ferrieres,"	+86 (538) 131-4345",Proctologist,Procedural
101255,Maddalena Keat,"	+46 (653) 484-3308",Neurosurgeon,Surgery
101049,Elysee Arnatt,"	+233 (896) 786-7038",Expert in narcology,Laboratory
101877,Lay Briers,"	+55 (875) 818-2809",Urologist,Pediatrics
101935,Giralda Dugdale,"	+63 (147) 425-9847",Obituary,Morgue
101777,Egor MacTrustram,"	+7 (916) 447-7994",Pediatr,Pediatrics
101299,Chuck Cosgriff,"	+375 (582) 471-2160",Gynecologist,Pediatrics
101443,Fran Skuse,"	+86 (336) 524-9665",Virologist,Laboratory
101792,Kristin Freestone,"	+94 (365) 774-8835",Traumatologist,Traumatology
101214,Gill Wemyss,"	+86 (996) 696-0441",Anesthetist,Surgery
101625,Vivi Have,"	+86 (652) 521-1401",Surgeon,Surgery
101958,Minna Johansen,"	+976 (359) 334-1905",Cardiologist,Cardiology
101196,Paten Woodeson,"	+93 (590) 165-9253",Proctologist,Procedural
101889,Josephine Neil,"	+86 (575) 458-4404",Neurosurgeon,Surgery
101170,Darn Inchcomb,"	+386 (997) 566-3078",Expert in narcology,Laboratory
101571,Vivianne Tuddall,"	+62 (809) 720-9146",Urologist,Pediatrics
101745,Kassia Minshaw,"	+7 (923) 717-5930",Obituary,Morgue
101186,Roman Thalmann,"	+46 (274) 711-5175",Pediatr,Pediatrics
101143,Wallie Barrable,"	+86 (202) 322-5640",Gynecologist,Pediatrics
101820,Dre Outibridge,"	+49 (629) 853-9488",Virologist,Laboratory
101365,Ardelia Maxfield,"	+7 (995) 486-9762",Traumatologist,Traumatology
101819,Collen Clymer,"	+86 (578) 307-5599",Anesthetist,Surgery
101100,Phaedra Pinel,"	+385 (431) 336-7558",Surgeon,Surgery
101277,Timi Bougen,"	+63 (347) 346-0274",Cardiologist,Cardiology
101668,Debor Stainton - Skinn,"	+57 (656) 732-3686",Proctologist,Procedural
101948,Ella Janikowski,"	+965 (470) 923-3406",Neurosurgeon,Surgery
101411,Farrah De Ambrosis,"	+242 (233) 460-9060",Expert in narcology,Laboratory
101926,Dorella Benfield,"	+353 (856) 945-1425",Urologist,Pediatrics
101212,Yovonnda Scoyne,"	+86 (478) 745-1460",Obituary,Morgue
101586,Deirdre MacKowle,"	+86 (951) 758-3251",Pediatr,Pediatrics
101264,Fergus McKillop,"	+7 (704) 238-6940",Gynecologist,Pediatrics
101088,Collen Jakab,"	+86 (758) 617-5584",Virologist,Laboratory
101335,Tim Hayman,"	+86 (977) 288-0260",Traumatologist,Traumatology
101598,Selina Bygrave,"	+92 (493) 286-7189",Anesthetist,Surgery
101827,Nessa Dobrovsky,"	+63 (781) 853-2277",Surgeon,Surgery
101991,Rodolphe Yashanov,"	+62 (288) 354-0862",Cardiologist,Cardiology
101184,Fae Ox,"	+55 (534) 952-9229",Proctologist,Procedural
101145,Margo Pridgeon,"	+7 (476) 425-6204",Neurosurgeon,Surgery
101635,Derek Ogborn,"	+381 (893) 507-3021",Expert in narcology,Laboratory
101883,Agace Carey,"	+63 (124) 315-7118",Urologist,Pediatrics
101007,Cammy Fossett,"	+62 (445) 193-8554",Obituary,Morgue
101738,Anatol Trumpeter,"	+62 (393) 228-0861",Pediatr,Pediatrics
101896,Clare Piwell,"	+98 (764) 599-9493",Gynecologist,Pediatrics
101263,Findlay Crickmore,"	+33 (795) 624-0105",Virologist,Laboratory
101510,Johnnie Myerscough,"	+63 (790) 468-8182",Traumatologist,Traumatology
101020,Hewett Crumpton,"	+48 (355) 100-4653",Anesthetist,Surgery
