STAFF_ID,NAME,PHONE_NUMBER,AMB_NUM
107487,Weylin Fazzioli,353-805-8296,KZ400PH02
107313,Garland Martensen,139-665-6533,KZ278PH02
107611,Bale Sweett,662-302-3306,KZ875PH02
107274,Lauraine Halling,551-830-9132,KZ456PH02
107463,Natala Airlie,393-837-6429,KZ356PH02
107825,Stacey Sandbach,458-338-2795,KZ876PH02
107123,Brigid Tudgay,193-841-9737,KZ666PH02
107342,Tildy Donnel,399-785-5112,KZ732PH02
107913,Gayleen Mandrey,105-890-2797,KZ398PH02
107764,Ronalda Sans,714-913-7628,KZ976PH02
107392,Red Gisburn,386-940-2343,KZ400PH02
107675,Liz Caseborne,781-152-5218,KZ278PH02
107405,Regan Dunridge,780-938-6051,KZ875PH02
107241,Kelly Shortcliffe,806-180-4527,KZ456PH02
107646,Erinna Exon,693-412-7569,KZ356PH02
107060,Maddy Emery,221-368-9015,KZ876PH02
107108,Courtney Donnersberg,550-906-2623,KZ666PH02
107402,Liva Gartshore,470-329-8933,KZ732PH02
107343,Tudor Towler,220-544-2474,KZ398PH02
107016,Mariele Agar,337-434-4382,KZ976PH02
