STAFF_ID,NAME,PHONE_NUMBER,NURSE_TYPE,DEPARTMENT_NAME
102368,Jayme Fonte,211-841-6701,Nurse,Cardiology
102294,Kippie Patshull,370-285-6960,Nurse,Morgue
102614,Ossie Ryce,624-170-5803,Duty nurse,Traumatology
102612,Richardo Bilofsky,719-477-7575,Nurse,Surgery
102785,Diane-marie Drayton,461-458-7889,Duty nurse,Pediatrics
102889,Toiboid Cecere,630-425-9289,Nurse,Surgery
102385,Mike Patrie,851-450-4138,Duty nurse,Traumatology
102296,Merrel Weldon,184-352-4508,Nurse,Surgery
102524,Minny Phillput,196-374-3416,Duty nurse,Laboratory
102400,Roley Norman,906-474-1938,Nurse,Laboratory
102578,Octavius Ludlom,845-753-3877,Duty nurse,Laboratory
102570,Marisa Greenfield,893-301-7544,Nurse,Morgue
102499,Gavan Alben,753-285-0999,Duty nurse,Surgery
102644,Kyle Widd,657-794-9293,Nurse,Traumatology
102271,Aldo Ciccerale,138-337-5249,Nurse,Surgery
102602,Winnie Pizzie,839-963-7577,Duty nurse,Morgue
102615,Chane Popping,397-241-8969,Nurse,Morgue
102639,Virgil Fearnyhough,571-262-5158,Duty nurse,Surgery
102444,Missie Peeter,460-172-4317,Nurse,Surgery
102161,Lusa Frostick,208-694-9321,Duty nurse,Cardiology
102840,Noreen Nye,392-243-2026,Nurse,Surgery
102330,Cynthy Derington,822-376-5216,Duty nurse,Surgery
102175,Kinna Dorie,768-398-4069,Nurse,Cardiology
102858,Bibi Dunbar,726-892-1362,Duty nurse,Laboratory
102750,Wilmette Jedrys,378-230-2195,Nurse,Morgue
102288,Priscilla Robertson,389-370-1046,Duty nurse,Surgery
102479,Ginevra Ritch,546-473-4628,Nurse,Laboratory
102233,Pippo Stockton,916-382-0698,Nurse,Traumatology
102910,Catherin Bushby,496-556-6755,Duty nurse,Surgery
102690,Wilfrid Quinnelly,347-885-8186,Nurse,Surgery
102555,Olin Greguoli,539-402-0615,Duty nurse,Morgue
102542,Hatti Piche,616-575-7756,Nurse,Morgue
102445,Jyoti Metzig,713-550-5245,Duty nurse,Surgery
102035,Linoel Humblestone,419-107-6061,Nurse,Morgue
102947,Sydelle Dorin,584-549-0862,Duty nurse,Traumatology
102897,Andrea Belbin,955-474-5530,Nurse,Surgery
102306,Bernetta Giacobini,411-559-2503,Duty nurse,Surgery
102178,Hoyt Beckson,265-100-7101,Nurse,Pediatrics
102144,Galven Meadowcroft,970-931-4292,Duty nurse,Morgue
102871,Nicoline Vanin,989-399-5886,Nurse,Surgery
102193,Lynnett Solman,302-498-6211,Nurse,Pediatrics
102623,Randolf Tasseler,590-112-7772,Duty nurse,Pediatrics
102031,Michelle Downham,704-301-9251,Nurse,Laboratory
102860,Giulio Allsepp,622-155-5308,Duty nurse,Laboratory
102258,Zea Agron,153-917-3106,Nurse,Laboratory
102867,Terrijo Tyre,495-665-8825,Duty nurse,Surgery
102814,Etti Wharby,285-674-9192,Nurse,Morgue
102944,Alyss Bracegirdle,332-497-5005,Duty nurse,Cardiology
102372,Ernestine Bleiman,336-701-8866,Nurse,Surgery
102617,Annora Kynder,135-374-9078,Duty nurse,Morgue
102880,Carmine Fuchs,934-650-8195,Nurse,Pediatrics
102322,Karola Goodfellow,594-153-1900,Duty nurse,Morgue
102974,Web Dureden,946-532-2692,Nurse,Laboratory
102098,Hilda Avrasin,332-951-2327,Nurse,Traumatology
102636,Sylas Mioni,551-585-1942,Duty nurse,Laboratory
102315,Ruggiero Gabbatt,808-900-6583,Nurse,Laboratory
102033,Kliment Cribbott,972-367-3185,Duty nurse,Morgue
102839,Arleyne Sabathier,879-271-6853,Nurse,Surgery
102980,Lexis Shoulder,889-350-5845,Duty nurse,Traumatology
102249,Thoma Lincey,675-973-1109,Nurse,Laboratory
102982,Hermann Dagworthy,534-213-4366,Duty nurse,Cardiology
102231,Lucille Weekley,352-730-8242,Nurse,Morgue
102392,Hodge Petkovic,414-131-7914,Duty nurse,Morgue
102042,Aurel Mably,129-554-6897,Nurse,Cardiology
102336,Vina Cornelius,451-858-7433,Duty nurse,Morgue
102363,Giorgio Stoyles,997-915-1163,Nurse,Surgery
102295,Nissie Ilyin,210-407-2726,Nurse,Laboratory
102044,Ulberto Crisp,888-157-0948,Duty nurse,Pediatrics
102224,Alvin Gouch,727-184-7935,Nurse,Pediatrics
102661,Dierdre Beatens,927-947-8885,Duty nurse,Pediatrics
102281,Dyan Dewicke,682-859-9623,Nurse,Morgue
102988,Janaye Squibbs,575-517-6338,Duty nurse,Pediatrics
102500,Ashley Dury,414-292-0189,Nurse,Laboratory
102822,Margo Lowrey,735-122-8490,Duty nurse,Surgery
102987,Hyatt Clousley,457-679-4588,Nurse,Cardiology
102659,Filip Mayzes,210-778-3656,Duty nurse,Morgue
102640,Chicky Worthy,557-808-9186,Nurse,Morgue
102109,Errick Gail,405-183-3412,Duty nurse,Cardiology
102587,Reggie Brumbye,486-967-6452,Nurse,Morgue
102025,Lorinda Ogilvy,564-671-8016,Nurse,Morgue
102360,Thorndike Whysall,508-135-7326,Duty nurse,Traumatology
102635,Grethel Mallen,785-913-9416,Nurse,Surgery
102429,Liam Donativo,506-756-1868,Duty nurse,Pediatrics
102503,Bale Waddilow,756-887-6783,Nurse,Morgue
102930,Lorine Lahive,394-907-6239,Duty nurse,Traumatology
102675,Orelie Ruhben,917-132-6844,Nurse,Surgery
102515,Brendis Muldowney,193-270-5888,Duty nurse,Traumatology
102538,Ewell Binley,485-748-2560,Nurse,Surgery
102545,Adriena Bysouth,844-168-9044,Duty nurse,Surgery
102365,Letisha Wyness,295-476-2435,Nurse,Morgue
102076,Sherwood Batha,177-400-0615,Duty nurse,Surgery
102818,Jefferson Staniforth,967-554-8265,Nurse,Surgery
102562,Flori Rapley,531-570-3383,Nurse,Morgue
102887,Kathy Edwin,784-455-8619,Duty nurse,Laboratory
102218,Jaye Wilne,521-458-2453,Nurse,Morgue
102857,Tiebold Renon,405-289-0120,Duty nurse,Surgery
102301,Bentley Joice,182-907-3471,Nurse,Laboratory
102803,Trevar Guppy,975-806-6206,Duty nurse,Cardiology
102896,Laurence MacGiolla Pheadair,484-578-5312,Nurse,Morgue
102307,Neddie Minney,374-489-0356,Duty nurse,Traumatology
