STAFF_ID,NAME,PHONE_NUMBER,TECH_TYPE,DEPARTMENT_NAME
103781,Diann Leahair,330-196-1233,Cleaner,Peiatrics
103900,Nero Darycott,917-839-8471,Cook,Surgery
103925,Jean Kilner,325-471-5696,Cleaner,Traumotology
103555,Waldon Raffon,594-949-2141,Cleaner,Peiatrics
103700,Claude Shanley,577-853-0037,Security guard,Laborotory
103940,Win Eggleson,990-510-7439,Cleaner,Peiatrics
103195,Dael Wilsey,990-387-4078,Security guard,Laborotory
103148,Torin Pretswell,987-758-2246,Cook,Surgery
103751,Valle Hannis,161-743-4456,Cleaner,Traumotology
103807,Lorry Rann,645-961-2042,Security guard,Cardiology
103260,Christos Bleibaum,675-996-1847,Cook,Procedural
103200,Errick Grabert,821-313-3839,Cleaner,Peiatrics
103849,Althea Freeburn,878-982-9998,Security guard,Laborotory
103524,Bobbee Pitcock,763-886-1778,Cook,Surgery
103402,Carlota Cruickshank,210-774-9042,Cleaner,Traumotology
103855,Rivalee Robecon,566-740-3352,Security guard,Cardiology
103142,Nolie Giamo,310-503-5946,Cook,Procedural
103398,Amity Doodson,243-888-0647,Cleaner,Peiatrics
103977,Conan Auld,580-493-2650,Security guard,Laborotory
103016,Milissent Bradman,532-396-4658,Cook,Surgery
103517,Filbert Lidgertwood,232-902-5723,Cleaner,Traumotology
103219,Kenn Lehr,172-390-5532,Security guard,Cardiology
103291,Bethena Macknish,341-890-0171,Cook,Procedural
103405,Brenn Ziemens,909-578-8113,Cleaner,Peiatrics
103898,Rutter Brandsma,608-864-8571,Security guard,Laborotory
103237,Ronny Ennever,782-838-1902,Cook,Surgery
103904,Ambrosius Hardiker,454-945-4133,Cleaner,Traumotology
103143,Holly Biskupski,310-893-8000,Security guard,Cardiology
103105,Fonzie Nealy,616-804-2382,Cook,Procedural
103830,Ham Jannaway,440-537-3711,Cleaner,Peiatrics
103782,Kaylee Slaughter,273-896-5836,Security guard,Laborotory
103501,Matthaeus Blaszczyk,121-195-0379,Cook,Surgery
103265,Karon Alelsandrowicz,717-842-3881,Cleaner,Traumotology
103060,Bing Sabie,162-779-7529,Security guard,Cardiology
103561,Juliane Spong,202-453-7757,Cook,Procedural
103593,Philis Gerhold,407-788-1065,Security guard,Laborotory
103222,Iseabal Dyott,564-515-6997,Cook,Surgery
103232,Keven Rennebeck,383-403-0401,Cleaner,Traumotology
103671,Rosanna McNally,322-110-7963,Security guard,Cardiology
